チョコ	チョコ食べたい
イギリス	慶応3年1月5日新暦2月9日江戸牛込馬場下横町に生まれる本名は夏目金之助帝国大学文科大学東京大学文学部を卒業後東京高等師範学校松山中学第五高等学校などの教師生活を経て1900年イギリスに留学する帰国後第一高等学校で教鞭をとりながら1905年処女作吾輩は猫であるを発表1906年坊っちゃん草枕を発表1907年教職を辞し朝日新聞社に入社そして虞美人草三四郎などを発表するが胃病に苦しむようになる1916年12月9日明暗の連載途中に胃潰瘍で永眠享年50歳であった
留学	慶応3年1月5日新暦2月9日江戸牛込馬場下横町に生まれる本名は夏目金之助帝国大学文科大学東京大学文学部を卒業後東京高等師範学校松山中学第五高等学校などの教師生活を経て1900年イギリスに留学する帰国後第一高等学校で教鞭をとりながら1905年処女作吾輩は猫であるを発表1906年坊っちゃん草枕を発表1907年教職を辞し朝日新聞社に入社そして虞美人草三四郎などを発表するが胃病に苦しむようになる1916年12月9日明暗の連載途中に胃潰瘍で永眠享年50歳であった
帰国	慶応3年1月5日新暦2月9日江戸牛込馬場下横町に生まれる本名は夏目金之助帝国大学文科大学東京大学文学部を卒業後東京高等師範学校松山中学第五高等学校などの教師生活を経て1900年イギリスに留学する帰国後第一高等学校で教鞭をとりながら1905年処女作吾輩は猫であるを発表1906年坊っちゃん草枕を発表1907年教職を辞し朝日新聞社に入社そして虞美人草三四郎などを発表するが胃病に苦しむようになる1916年12月9日明暗の連載途中に胃潰瘍で永眠享年50歳であった
第一高等学校	慶応3年1月5日新暦2月9日江戸牛込馬場下横町に生まれる本名は夏目金之助帝国大学文科大学東京大学文学部を卒業後東京高等師範学校松山中学第五高等学校などの教師生活を経て1900年イギリスに留学する帰国後第一高等学校で教鞭をとりながら1905年処女作吾輩は猫であるを発表1906年坊っちゃん草枕を発表1907年教職を辞し朝日新聞社に入社そして虞美人草三四郎などを発表するが胃病に苦しむようになる1916年12月9日明暗の連載途中に胃潰瘍で永眠享年50歳であった
教鞭	慶応3年1月5日新暦2月9日江戸牛込馬場下横町に生まれる本名は夏目金之助帝国大学文科大学東京大学文学部を卒業後東京高等師範学校松山中学第五高等学校などの教師生活を経て1900年イギリスに留学する帰国後第一高等学校で教鞭をとりながら1905年処女作吾輩は猫であるを発表1906年坊っちゃん草枕を発表1907年教職を辞し朝日新聞社に入社そして虞美人草三四郎などを発表するが胃病に苦しむようになる1916年12月9日明暗の連載途中に胃潰瘍で永眠享年50歳であった
処女	慶応3年1月5日新暦2月9日江戸牛込馬場下横町に生まれる本名は夏目金之助帝国大学文科大学東京大学文学部を卒業後東京高等師範学校松山中学第五高等学校などの教師生活を経て1900年イギリスに留学する帰国後第一高等学校で教鞭をとりながら1905年処女作吾輩は猫であるを発表1906年坊っちゃん草枕を発表1907年教職を辞し朝日新聞社に入社そして虞美人草三四郎などを発表するが胃病に苦しむようになる1916年12月9日明暗の連載途中に胃潰瘍で永眠享年50歳であった
吾輩	慶応3年1月5日新暦2月9日江戸牛込馬場下横町に生まれる本名は夏目金之助帝国大学文科大学東京大学文学部を卒業後東京高等師範学校松山中学第五高等学校などの教師生活を経て1900年イギリスに留学する帰国後第一高等学校で教鞭をとりながら1905年処女作吾輩は猫であるを発表1906年坊っちゃん草枕を発表1907年教職を辞し朝日新聞社に入社そして虞美人草三四郎などを発表するが胃病に苦しむようになる1916年12月9日明暗の連載途中に胃潰瘍で永眠享年50歳であった|吾輩は猫である
猫	慶応3年1月5日新暦2月9日江戸牛込馬場下横町に生まれる本名は夏目金之助帝国大学文科大学東京大学文学部を卒業後東京高等師範学校松山中学第五高等学校などの教師生活を経て1900年イギリスに留学する帰国後第一高等学校で教鞭をとりながら1905年処女作吾輩は猫であるを発表1906年坊っちゃん草枕を発表1907年教職を辞し朝日新聞社に入社そして虞美人草三四郎などを発表するが胃病に苦しむようになる1916年12月9日明暗の連載途中に胃潰瘍で永眠享年50歳であった|吾輩は猫である
発表	慶応3年1月5日新暦2月9日江戸牛込馬場下横町に生まれる本名は夏目金之助帝国大学文科大学東京大学文学部を卒業後東京高等師範学校松山中学第五高等学校などの教師生活を経て1900年イギリスに留学する帰国後第一高等学校で教鞭をとりながら1905年処女作吾輩は猫であるを発表1906年坊っちゃん草枕を発表1907年教職を辞し朝日新聞社に入社そして虞美人草三四郎などを発表するが胃病に苦しむようになる1916年12月9日明暗の連載途中に胃潰瘍で永眠享年50歳であった
坊っちゃん	慶応3年1月5日新暦2月9日江戸牛込馬場下横町に生まれる本名は夏目金之助帝国大学文科大学東京大学文学部を卒業後東京高等師範学校松山中学第五高等学校などの教師生活を経て1900年イギリスに留学する帰国後第一高等学校で教鞭をとりながら1905年処女作吾輩は猫であるを発表1906年坊っちゃん草枕を発表1907年教職を辞し朝日新聞社に入社そして虞美人草三四郎などを発表するが胃病に苦しむようになる1916年12月9日明暗の連載途中に胃潰瘍で永眠享年50歳であった
