チョコ	チョコ食べたい
交友	こないの恥知らずの阿呆のばけものの謂わば生ける屍としか解してくれずそうして彼の快楽のために自分を利用できるところだけは利用するそれっきりの交友だったのだと思ったらさすがにいい気持はしませんでしたがしかしまた堀木が自分をそのように見ているのももっともな話で自分は昔から人間の資格の無いみたいな子供だったのだやっぱり堀木にさえ軽蔑せられて至当なのかも知れないと考え直し
気持	こないの恥知らずの阿呆のばけものの謂わば生ける屍としか解してくれずそうして彼の快楽のために自分を利用できるところだけは利用するそれっきりの交友だったのだと思ったらさすがにいい気持はしませんでしたがしかしまた堀木が自分をそのように見ているのももっともな話で自分は昔から人間の資格の無いみたいな子供だったのだやっぱり堀木にさえ軽蔑せられて至当なのかも知れないと考え直し|自分にはどうしても正面切っての議論が出来ません焼酎の陰鬱な酔いのために刻一刻気持が険しくなって来るのを懸命に抑えてほとんど独りごとのようにして言いました|自分は人妻の犯された物語の本をいろいろ捜して読んでみましたけれどもヨシ子ほど悲惨な犯され方をしている女はひとりも無いと思いましたどだいこれはてんで物語にも何もなりませんあの小男の商人とヨシ子とのあいだに少しでも恋に似た感情でもあったなら自分の気持もかえってたすかるかも知れませんがただ夏の一夜ヨシ子が信頼してそうしてそれっきりしかもそのために自分の眉間はまっこうから割られ声が嗄れて若白髪がはじまりヨシ子は一生おろおろしなければならなくなったのですたいていの物語はその妻の行為を夫が許すかどうかそこに重点を置いていたようでしたがそれは自分にとってはそんなに苦しい大問題では無いように思われました許す許さぬそのような権利を留保している夫こそ幸いなる哉とても許す事が出来ぬと思ったなら何もそんなに大騒ぎせずともさっさと妻を離縁して新しい妻を迎えたらどうだろうそれが出来なかったら所謂許して我慢するさいずれにしても夫の気持一つで四方八方がまるく収るだろうにという気さえするのでしたつまりそのような事件はたしかに夫にとって大いなるショックであってもしかしそれはショックであっていつまでも尽きること無く打ち返し打ち寄せる波と違い権利のある夫の怒りでもってどうにでも処理できるトラブルのように自分には思われたのでしたけれども自分たちの場合夫に何の権利も無く考えると何もかも自分がわるいような気がして来て怒るどころかおこごと一つも言えずまたその妻はその所有している稀な美質に依って犯されたのですしかもその美質は夫のかねてあこがれの無垢の信頼心というたまらなく可憐なものなのでした
堀木	こないの恥知らずの阿呆のばけものの謂わば生ける屍としか解してくれずそうして彼の快楽のために自分を利用できるところだけは利用するそれっきりの交友だったのだと思ったらさすがにいい気持はしませんでしたがしかしまた堀木が自分をそのように見ているのももっともな話で自分は昔から人間の資格の無いみたいな子供だったのだやっぱり堀木にさえ軽蔑せられて至当なのかも知れないと考え直し|堀木が平然とそう答えましたので自分は堀木の顔を見直しました近くのビルの明滅するネオンサインの赤い光を受けて堀木の顔は鬼刑事の如く威厳ありげに見えました自分はつくづく呆れかえり|堀木の声も顔色も変っています堀木はたったいまふらふら起きてしたへ行ったかと思うとまた引返して来たのです|異様に殺気立ちふたり屋上から二階へ降り二階からさらに階下の自分の部屋へ降りる階段の中途で堀木は立ち止り|堀木は大きい咳ばらいをしました自分はひとり逃げるようにまた屋上に駈け上り寝ころび雨を含んだ夏の夜空を仰ぎそのとき自分を襲った感情は怒りでも無く嫌悪でも無くまた悲しみでも無くもの凄まじい恐怖でしたそれも墓地の幽霊などに対する恐怖ではなく神社の杉木立で白衣の御神体に逢った時に感ずるかも知れないような四の五の言わさぬ古代の荒々しい恐怖感でした自分の若白髪はその夜からはじまりいよいよすべてに自信を失いいよいよひとを底知れず疑いこの世の営みに対する一さいの期待よろこび共鳴などから永遠にはなれるようになりました実にそれは自分の生涯に於いて決定的な事件でした自分はまっこうから眉間を割られそうしてそれ以来その傷はどんな人間にでも接近する毎に痛むのでした|気まずい場所に永くとどまっているほど間の抜けた堀木ではありませんでした|さすがにその商人はその後やっては来ませんでしたが自分にはどうしてだかその商人に対する憎悪よりもさいしょに見つけたすぐその時に大きい咳ばらいも何もせずそのまま自分に知らせにまた屋上に引返して来た堀木に対する憎しみと怒りが眠られぬ夜などにむらむら起って呻きました|唯一のたのみの美質にさえ疑惑を抱き自分はもはや何もかもわけがわからなくなりおもむくところはただアルコールだけになりました自分の顔の表情は極度にいやしくなり朝から焼酎を飲み歯がぼろぼろに欠けて漫画もほとんど猥画に近いものを画くようになりましたいいえはっきり言います自分はその頃から春画のコピイをして密売しました焼酎を買うお金がほしかったのですいつも自分から視線をはずしておろおろしているヨシ子を見るとこいつは全く警戒を知らぬ女だったからあの商人といちどだけでは無かったのではなかろうかまた堀木はいや或いは自分の知らない人ともと疑惑は疑惑を生みさりとて思い切ってそれを問い正す勇気も無くれいの不安と恐怖にのたうち廻る思いでただ焼酎を飲んで酔ってはわずかに卑屈な誘導訊問みたいなものをおっかなびっくり試み内心おろかしく一喜一憂しうわべはやたらにお道化てそうしてそれからヨシ子にいまわしい地獄の愛撫を加え泥のように眠りこけるのでした|今夜十本一気に注射しそうして大川に飛び込もうとひそかに覚悟を極めたその日の午後ヒラメが悪魔の勘で嗅ぎつけたみたいに堀木を連れてあらわれました|堀木は自分の前にあぐらをかいてそう言いいままで見た事も無いくらいに優しく微笑みましたその優しい微笑がありがたくてうれしくて自分はつい顔をそむけて涙を流しましたそうして彼のその優しい微笑一つで自分は完全に打ち破られ葬り去られてしまったのです|とまるではにかむように微笑して言いヒラメと堀木とヨシ子は自分ひとりを置いて帰ることになりましたがヨシ子は着換の衣類をいれてある風呂敷包を自分に手渡しそれから黙って帯の間から注射器と使い残りのあの薬品を差し出しましたやはり強精剤だとばかり思っていたのでしょうか|堀木のあの不思議な美しい微笑に自分は泣き判断も抵抗も忘れて自動車に乗りそうしてここに連れて来られて狂人という事になりましたいまにここから出ても自分はやっぱり狂人いや癈人という刻印を額に打たれる事でしょう
もっとも	こないの恥知らずの阿呆のばけものの謂わば生ける屍としか解してくれずそうして彼の快楽のために自分を利用できるところだけは利用するそれっきりの交友だったのだと思ったらさすがにいい気持はしませんでしたがしかしまた堀木が自分をそのように見ているのももっともな話で自分は昔から人間の資格の無いみたいな子供だったのだやっぱり堀木にさえ軽蔑せられて至当なのかも知れないと考え直し
話	こないの恥知らずの阿呆のばけものの謂わば生ける屍としか解してくれずそうして彼の快楽のために自分を利用できるところだけは利用するそれっきりの交友だったのだと思ったらさすがにいい気持はしませんでしたがしかしまた堀木が自分をそのように見ているのももっともな話で自分は昔から人間の資格の無いみたいな子供だったのだやっぱり堀木にさえ軽蔑せられて至当なのかも知れないと考え直し|ヒラメの話の聞き手になっているのは京橋のバアのマダムでした|田中の話だよ
人間	こないの恥知らずの阿呆のばけものの謂わば生ける屍としか解してくれずそうして彼の快楽のために自分を利用できるところだけは利用するそれっきりの交友だったのだと思ったらさすがにいい気持はしませんでしたがしかしまた堀木が自分をそのように見ているのももっともな話で自分は昔から人間の資格の無いみたいな子供だったのだやっぱり堀木にさえ軽蔑せられて至当なのかも知れないと考え直し|違うと思う善悪の概念は人間が作ったものだ人間が勝手に作った道徳の言葉だ|自分はぐらぐら目まいしながらこれもまた人間の姿だこれもまた人間の姿だおどろく事は無いなど劇しい呼吸と共に胸の中で呟きヨシ子を助ける事も忘れ階段に立ちつくしていました|堀木は大きい咳ばらいをしました自分はひとり逃げるようにまた屋上に駈け上り寝ころび雨を含んだ夏の夜空を仰ぎそのとき自分を襲った感情は怒りでも無く嫌悪でも無くまた悲しみでも無くもの凄まじい恐怖でしたそれも墓地の幽霊などに対する恐怖ではなく神社の杉木立で白衣の御神体に逢った時に感ずるかも知れないような四の五の言わさぬ古代の荒々しい恐怖感でした自分の若白髪はその夜からはじまりいよいよすべてに自信を失いいよいよひとを底知れず疑いこの世の営みに対する一さいの期待よろこび共鳴などから永遠にはなれるようになりました実にそれは自分の生涯に於いて決定的な事件でした自分はまっこうから眉間を割られそうしてそれ以来その傷はどんな人間にでも接近する毎に痛むのでした|人間失格|もはや自分は完全に人間で無くなりました|自分がいままで阿鼻叫喚で生きて来た所謂人間の世界に於いてたった一つ真理らしく思われたのはそれだけでした|人間
資格	こないの恥知らずの阿呆のばけものの謂わば生ける屍としか解してくれずそうして彼の快楽のために自分を利用できるところだけは利用するそれっきりの交友だったのだと思ったらさすがにいい気持はしませんでしたがしかしまた堀木が自分をそのように見ているのももっともな話で自分は昔から人間の資格の無いみたいな子供だったのだやっぱり堀木にさえ軽蔑せられて至当なのかも知れないと考え直し
子供	こないの恥知らずの阿呆のばけものの謂わば生ける屍としか解してくれずそうして彼の快楽のために自分を利用できるところだけは利用するそれっきりの交友だったのだと思ったらさすがにいい気持はしませんでしたがしかしまた堀木が自分をそのように見ているのももっともな話で自分は昔から人間の資格の無いみたいな子供だったのだやっぱり堀木にさえ軽蔑せられて至当なのかも知れないと考え直し|子供相手に発情するな
軽蔑	こないの恥知らずの阿呆のばけものの謂わば生ける屍としか解してくれずそうして彼の快楽のために自分を利用できるところだけは利用するそれっきりの交友だったのだと思ったらさすがにいい気持はしませんでしたがしかしまた堀木が自分をそのように見ているのももっともな話で自分は昔から人間の資格の無いみたいな子供だったのだやっぱり堀木にさえ軽蔑せられて至当なのかも知れないと考え直し
至当	こないの恥知らずの阿呆のばけものの謂わば生ける屍としか解してくれずそうして彼の快楽のために自分を利用できるところだけは利用するそれっきりの交友だったのだと思ったらさすがにいい気持はしませんでしたがしかしまた堀木が自分をそのように見ているのももっともな話で自分は昔から人間の資格の無いみたいな子供だったのだやっぱり堀木にさえ軽蔑せられて至当なのかも知れないと考え直し
罪	罪罪のアントニムは何だろうこれはむずかしいぞ|罪ってのは君そんなものじゃないだろう|罪の対義語が法律とはしかし世間の人たちはみんなそれくらいに簡単に考えて澄まして暮しているのかも知れません刑事のいないところにこそ罪がうごめいていると|まさか罪のアントは善さ善良なる市民つまりおれみたいなものさ|冗談はよそうよしかし善は悪のアントだ罪のアントではない|悪と罪とは違うのかい|君には罪というものがまるで興味ないらしいね|しかし牢屋にいれられる事だけが罪じゃないんだ罪のアントがわかれば罪の実体もつかめるような気がするんだけど神救い愛光しかし神にはサタンというアントがあるし救いのアントは苦悩だろうし愛には憎しみ光には闇というアントがあり善には悪罪と祈り罪と悔い罪と告白罪と嗚呼みんなシノニムだ罪の対語は何だ|ようしそれじゃしたへ行ってヨシちゃんと二人で罪を犯して来よう議論より実地検分罪のアントは蜜豆いやそら豆か|罪と空腹空腹とそら豆いやこれはシノニムか|罪と罰ドストイエフスキイちらとそれが頭脳の片隅をかすめて通りはっと思いましたもしもあのドスト氏が罪と罰をシノニムと考えずアントニムとして置き並べたものとしたら罪と罰絶対に相通ぜざるもの氷炭相容れざるもの罪と罰をアントとして考えたドストの青みどろ腐った池乱麻の奥底のああわかりかけたいやまだなどと頭脳に走馬燈がくるくる廻っていた時に|並んで坐って豆を食べました嗚呼信頼は罪なりや相手の男は自分に漫画をかかせてはわずかなお金をもったい振って置いて行く三十歳前後の無学な小男の商人なのでした|神に問う信頼は罪なりや|果して無垢の信頼心は罪の原泉なりや|無垢の信頼心は罪なりや|ジアール自分はその頃もっぱら焼酎で催眠剤を用いてはいませんでしたがしかし不眠は自分の持病のようなものでしたからたいていの催眠剤にはお馴染みでしたジアールのこの箱一つはたしかに致死量以上の筈でしたまだ箱の封を切ってはいませんでしたがしかしいつかはやる気でこんなところにしかもレッテルを掻きはがしたりなどして隠していたのに違いありません可哀想にあの子にはレッテルの洋字が読めないので爪で半分掻きはがしてこれで大丈夫と思っていたのでしょうお前に罪は無い|死にたいいっそ死にたいもう取返しがつかないんだどんな事をしても何をしても駄目になるだけなんだ恥の上塗りをするだけなんだ自転車で青葉の滝など自分には望むべくも無いんだただけがらわしい罪にあさましい罪が重なり苦悩が増大し強烈になるだけなんだ死にたい死ななければならぬ生きているのが罪の種なのだなどと思いつめてもやっぱりアパートと薬屋の間を半狂乱の姿で往復しているばかりなのでした|神に問う無抵抗は罪なりや
アントニム	罪罪のアントニムは何だろうこれはむずかしいぞ|罪と罰ドストイエフスキイちらとそれが頭脳の片隅をかすめて通りはっと思いましたもしもあのドスト氏が罪と罰をシノニムと考えずアントニムとして置き並べたものとしたら罪と罰絶対に相通ぜざるもの氷炭相容れざるもの罪と罰をアントとして考えたドストの青みどろ腐った池乱麻の奥底のああわかりかけたいやまだなどと頭脳に走馬燈がくるくる廻っていた時に
何	罪罪のアントニムは何だろうこれはむずかしいぞ|ツミの対語はミツさ蜜の如く甘しだ腹がへったなあ何か食うものを持って来いよ|いい何も言うなお前はひとを疑う事を知らなかったんだお坐り豆を食べよう|さすがにその商人はその後やっては来ませんでしたが自分にはどうしてだかその商人に対する憎悪よりもさいしょに見つけたすぐその時に大きい咳ばらいも何もせずそのまま自分に知らせにまた屋上に引返して来た堀木に対する憎しみと怒りが眠られぬ夜などにむらむら起って呻きました|自分は人妻の犯された物語の本をいろいろ捜して読んでみましたけれどもヨシ子ほど悲惨な犯され方をしている女はひとりも無いと思いましたどだいこれはてんで物語にも何もなりませんあの小男の商人とヨシ子とのあいだに少しでも恋に似た感情でもあったなら自分の気持もかえってたすかるかも知れませんがただ夏の一夜ヨシ子が信頼してそうしてそれっきりしかもそのために自分の眉間はまっこうから割られ声が嗄れて若白髪がはじまりヨシ子は一生おろおろしなければならなくなったのですたいていの物語はその妻の行為を夫が許すかどうかそこに重点を置いていたようでしたがそれは自分にとってはそんなに苦しい大問題では無いように思われました許す許さぬそのような権利を留保している夫こそ幸いなる哉とても許す事が出来ぬと思ったなら何もそんなに大騒ぎせずともさっさと妻を離縁して新しい妻を迎えたらどうだろうそれが出来なかったら所謂許して我慢するさいずれにしても夫の気持一つで四方八方がまるく収るだろうにという気さえするのでしたつまりそのような事件はたしかに夫にとって大いなるショックであってもしかしそれはショックであっていつまでも尽きること無く打ち返し打ち寄せる波と違い権利のある夫の怒りでもってどうにでも処理できるトラブルのように自分には思われたのでしたけれども自分たちの場合夫に何の権利も無く考えると何もかも自分がわるいような気がして来て怒るどころかおこごと一つも言えずまたその妻はその所有している稀な美質に依って犯されたのですしかもその美質は夫のかねてあこがれの無垢の信頼心というたまらなく可憐なものなのでした|その年の暮自分は夜おそく泥酔して帰宅し砂糖水を飲みたくヨシ子は眠っているようでしたから自分でお勝手に行き砂糖壺を捜し出しふたを開けてみたら砂糖は何もはいってなくて黒く細長い紙の小箱がはいっていました何気なく手に取りその箱にはられてあるレッテルを見て愕然としましたそのレッテルは爪で半分以上も掻きはがされていましたが洋字の部分が残っていてそれにはっきり書かれていましたＤＩＡＬ|うん何気がついた|ヨシ子は何か自分がヨシ子の身代りになって毒を飲んだとでも思い込んでいるらしく以前よりも尚いっそう自分に対しておろおろして自分が何を言っても笑わずそうしてろくに口もきけないような有様なので自分もアパートの部屋の中にいるのがうっとうしくつい外へ出て相変らず安い酒をあおる事になるのでしたしかしあのジアールの一件以来自分のからだがめっきり痩せ細って手足がだるく漫画の仕事も怠けがちになりヒラメがあの時見舞いとして置いて行ったお金ヒラメはそれを渋田の志ですと言っていかにもご自身から出たお金のようにして差出しましたがこれも故郷の兄たちからのお金のようでした自分もその頃にはヒラメの家から逃げ出したあの時とちがってヒラメのそんなもったい振った芝居をおぼろげながら見抜く事が出来るようになっていましたのでこちらもずるく全く気づかぬ振りをして神妙にそのお金のお礼をヒラメに向って申し上げたのでしたがしかしヒラメたちがなぜそんなややこしいカラクリをやらかすのかわかるようなわからないようなどうしても自分にはへんな気がしてなりませんでしたそのお金で思い切ってひとりで南伊豆の温泉に行ってみたりなどしましたがとてもそんな悠長な温泉めぐりなど出来る柄ではなくヨシ子を思えば侘びしさ限りなく宿の部屋から山を眺めるなどの落ちついた心境には甚だ遠くドテラにも着換えずお湯にもはいらず外へ飛び出しては薄汚い茶店みたいなところに飛び込んで焼酎をそれこそ浴びるほど飲んでからだ具合いを一そう悪くして帰京しただけの事でした|自分は立って取り敢えず何か適当な薬をと思い近くの薬屋にはいってそこの奥さんと顔を見合せ瞬間奥さんはフラッシュを浴びたみたいに首をあげ眼を見はり棒立ちになりましたしかしその見はった眼には驚愕の色も嫌悪の色も無くほとんど救いを求めるような慕うような色があらわれているのでしたああこのひともきっと不幸な人なのだ不幸な人はひとの不幸にも敏感なものなのだからと思った時ふとその奥さんが松葉杖をついて危かしく立っているのに気がつきました駈け寄りたい思いを抑えてなおもその奥さんと顔を見合せているうちに涙が出て来ましたすると奥さんの大きい眼からも涙がぽろぽろとあふれて出ました|これは何これは何と五六種の薬品の説明を愛情こめてしてくれたのですがしかしこの不幸な奥さんの愛情もまた自分にとって深すぎました最後に奥さんがこれはどうしてもなんとしてもお酒を飲みたくてたまらなくなった時のお薬と言って素早く紙に包んだ小箱|酒よりは害にならぬと奥さんも言い自分もそれを信じてまた一つには酒の酔いもさすがに不潔に感ぜられて来た矢先でもあったし久し振りにアルコールというサタンからのがれる事の出来る喜びもあり何の躊躇も無く自分は自分の腕にそのモルヒネを注射しました不安も焦燥もはにかみも綺麗に除去せられ自分は甚だ陽気な能弁家になるのでしたそうしてその注射をすると自分はからだの衰弱も忘れて漫画の仕事に精が出て自分で画きながら噴き出してしまうほど珍妙な趣向が生れるのでした|死にたいいっそ死にたいもう取返しがつかないんだどんな事をしても何をしても駄目になるだけなんだ恥の上塗りをするだけなんだ自転車で青葉の滝など自分には望むべくも無いんだただけがらわしい罪にあさましい罪が重なり苦悩が増大し強烈になるだけなんだ死にたい死ななければならぬ生きているのが罪の種なのだなどと思いつめてもやっぱりアパートと薬屋の間を半狂乱の姿で往復しているばかりなのでした|しかし結果は一そう悪く待てど暮せど何の返事も無く自分はその焦燥と不安のためにかえって薬の量をふやしてしまいました|自分は自動車に乗せられましたとにかく入院しなければならぬあとは自分たちにまかせなさいとヒラメもしんみりした口調でそれは慈悲深いとでも形容したいほどもの静かな口調でした自分にすすめ自分は意志も判断も何も無い者の如くただメソメソ泣きながら唯々諾々と二人の言いつけに従うのでしたヨシ子もいれて四人自分たちはずいぶん永いこと自動車にゆられあたりが薄暗くなった頃森の中の大きい病院の玄関に到着しました|ここへ来たのは初夏の頃で鉄の格子の窓から病院の庭の小さい池に紅い睡蓮の花が咲いているのが見えましたがそれから三つき経ち庭にコスモスが咲きはじめ思いがけなく故郷の長兄がヒラメを連れて自分を引き取りにやって来て父が先月末に胃潰瘍でなくなったこと自分たちはもうお前の過去は問わぬ生活の心配もかけないつもり何もしなくていいその代りいろいろ未練もあるだろうがすぐに東京から離れて田舎で療養生活をはじめてくれお前が東京でしでかした事の後仕末はだいたい渋田がやってくれた筈だからそれは気にしないでいいとれいの生真面目な緊張したような口調で言うのでした|君はいつも質問してばかりだたまには自分で何か考えてみたらどうだい|何|何を
表情	と何気無さそうな表情を装って言うのでした|唯一のたのみの美質にさえ疑惑を抱き自分はもはや何もかもわけがわからなくなりおもむくところはただアルコールだけになりました自分の顔の表情は極度にいやしくなり朝から焼酎を飲み歯がぼろぼろに欠けて漫画もほとんど猥画に近いものを画くようになりましたいいえはっきり言います自分はその頃から春画のコピイをして密売しました焼酎を買うお金がほしかったのですいつも自分から視線をはずしておろおろしているヨシ子を見るとこいつは全く警戒を知らぬ女だったからあの商人といちどだけでは無かったのではなかろうかまた堀木はいや或いは自分の知らない人ともと疑惑は疑惑を生みさりとて思い切ってそれを問い正す勇気も無くれいの不安と恐怖にのたうち廻る思いでただ焼酎を飲んで酔ってはわずかに卑屈な誘導訊問みたいなものをおっかなびっくり試み内心おろかしく一喜一憂しうわべはやたらにお道化てそうしてそれからヨシ子にいまわしい地獄の愛撫を加え泥のように眠りこけるのでした
法律	法律さ|罪の対義語が法律とはしかし世間の人たちはみんなそれくらいに簡単に考えて澄まして暮しているのかも知れません刑事のいないところにこそ罪がうごめいていると
顔	堀木が平然とそう答えましたので自分は堀木の顔を見直しました近くのビルの明滅するネオンサインの赤い光を受けて堀木の顔は鬼刑事の如く威厳ありげに見えました自分はつくづく呆れかえり|ヨシ子が汚されたという事よりもヨシ子の信頼が汚されたという事が自分にとってそののち永く生きておられないほどの苦悩の種になりました自分のようないやらしくおどおどしてひとの顔いろばかり伺い人を信じる能力がひび割れてしまっているものにとってヨシ子の無垢の信頼心はそれこそ青葉の滝のようにすがすがしく思われていたのですそれが一夜で黄色い汚水に変ってしまいました見よヨシ子はその夜から自分の一顰一笑にさえ気を遣うようになりました|唯一のたのみの美質にさえ疑惑を抱き自分はもはや何もかもわけがわからなくなりおもむくところはただアルコールだけになりました自分の顔の表情は極度にいやしくなり朝から焼酎を飲み歯がぼろぼろに欠けて漫画もほとんど猥画に近いものを画くようになりましたいいえはっきり言います自分はその頃から春画のコピイをして密売しました焼酎を買うお金がほしかったのですいつも自分から視線をはずしておろおろしているヨシ子を見るとこいつは全く警戒を知らぬ女だったからあの商人といちどだけでは無かったのではなかろうかまた堀木はいや或いは自分の知らない人ともと疑惑は疑惑を生みさりとて思い切ってそれを問い正す勇気も無くれいの不安と恐怖にのたうち廻る思いでただ焼酎を飲んで酔ってはわずかに卑屈な誘導訊問みたいなものをおっかなびっくり試み内心おろかしく一喜一憂しうわべはやたらにお道化てそうしてそれからヨシ子にいまわしい地獄の愛撫を加え泥のように眠りこけるのでした|次第に霧がはれて見ると枕元にヒラメがひどく不機嫌な顔をして坐っていました|マダムは笑い顔を自分の顔の上にかぶせるようにして言いました|東京に大雪の降った夜でした自分は酔って銀座裏をここはお国を何百里ここはお国を何百里と小声で繰り返し繰り返し呟くように歌いながらなおも降りつもる雪を靴先で蹴散らして歩いて突然吐きましたそれは自分の最初の喀血でした雪の上に大きい日の丸の旗が出来ました自分はしばらくしゃがんでそれからよごれていない個所の雪を両手で掬い取って顔を洗いながら泣きました|自分は立って取り敢えず何か適当な薬をと思い近くの薬屋にはいってそこの奥さんと顔を見合せ瞬間奥さんはフラッシュを浴びたみたいに首をあげ眼を見はり棒立ちになりましたしかしその見はった眼には驚愕の色も嫌悪の色も無くほとんど救いを求めるような慕うような色があらわれているのでしたああこのひともきっと不幸な人なのだ不幸な人はひとの不幸にも敏感なものなのだからと思った時ふとその奥さんが松葉杖をついて危かしく立っているのに気がつきました駈け寄りたい思いを抑えてなおもその奥さんと顔を見合せているうちに涙が出て来ましたすると奥さんの大きい眼からも涙がぽろぽろとあふれて出ました|奥さんは顔を赤らめます|いくら仕事をしても薬の使用量もしたがってふえているので薬代の借りがおそろしいほどの額にのぼり奥さんは自分の顔を見ると涙を浮べ自分も涙を流しました|堀木は自分の前にあぐらをかいてそう言いいままで見た事も無いくらいに優しく微笑みましたその優しい微笑がありがたくてうれしくて自分はつい顔をそむけて涙を流しましたそうして彼のその優しい微笑一つで自分は完全に打ち破られ葬り去られてしまったのです
ビル	堀木が平然とそう答えましたので自分は堀木の顔を見直しました近くのビルの明滅するネオンサインの赤い光を受けて堀木の顔は鬼刑事の如く威厳ありげに見えました自分はつくづく呆れかえり
明滅	堀木が平然とそう答えましたので自分は堀木の顔を見直しました近くのビルの明滅するネオンサインの赤い光を受けて堀木の顔は鬼刑事の如く威厳ありげに見えました自分はつくづく呆れかえり
ネオンサイン	堀木が平然とそう答えましたので自分は堀木の顔を見直しました近くのビルの明滅するネオンサインの赤い光を受けて堀木の顔は鬼刑事の如く威厳ありげに見えました自分はつくづく呆れかえり
光	堀木が平然とそう答えましたので自分は堀木の顔を見直しました近くのビルの明滅するネオンサインの赤い光を受けて堀木の顔は鬼刑事の如く威厳ありげに見えました自分はつくづく呆れかえり
鬼	堀木が平然とそう答えましたので自分は堀木の顔を見直しました近くのビルの明滅するネオンサインの赤い光を受けて堀木の顔は鬼刑事の如く威厳ありげに見えました自分はつくづく呆れかえり
刑事	堀木が平然とそう答えましたので自分は堀木の顔を見直しました近くのビルの明滅するネオンサインの赤い光を受けて堀木の顔は鬼刑事の如く威厳ありげに見えました自分はつくづく呆れかえり|罪の対義語が法律とはしかし世間の人たちはみんなそれくらいに簡単に考えて澄まして暮しているのかも知れません刑事のいないところにこそ罪がうごめいていると
威厳	堀木が平然とそう答えましたので自分は堀木の顔を見直しました近くのビルの明滅するネオンサインの赤い光を受けて堀木の顔は鬼刑事の如く威厳ありげに見えました自分はつくづく呆れかえり
君	罪ってのは君そんなものじゃないだろう|君には罪というものがまるで興味ないらしいね|君が持って来たらいいじゃないか|君はいつも質問してばかりだたまには自分で何か考えてみたらどうだい|君は冗談がうまいねえ
対義語	罪の対義語が法律とはしかし世間の人たちはみんなそれくらいに簡単に考えて澄まして暮しているのかも知れません刑事のいないところにこそ罪がうごめいていると
世間	罪の対義語が法律とはしかし世間の人たちはみんなそれくらいに簡単に考えて澄まして暮しているのかも知れません刑事のいないところにこそ罪がうごめいていると|哀れな童女の歌声が幻聴のようにかすかに遠くから聞えます不幸この世にはさまざまの不幸な人がいや不幸な人ばかりと言っても過言ではないでしょうがしかしその人たちの不幸は所謂世間に対して堂々と抗議が出来また世間もその人たちの抗議を容易に理解し同情しますしかし自分の不幸はすべて自分の罪悪からなので誰にも抗議の仕様が無いしまた口ごもりながら一言でも抗議めいた事を言いかけるとヒラメならずとも世間の人たち全部よくもまあそんな口がきけたものだと呆れかえるに違いないし自分はいったい俗にいうわがままものなのかまたはその反対に気が弱すぎるのか自分でもわけがわからないけれどもとにかく罪悪のかたまりらしいのでどこまでも自らどんどん不幸になるばかりで防ぎ止める具体策など無いのです
人	罪の対義語が法律とはしかし世間の人たちはみんなそれくらいに簡単に考えて澄まして暮しているのかも知れません刑事のいないところにこそ罪がうごめいていると|唯一のたのみの美質にさえ疑惑を抱き自分はもはや何もかもわけがわからなくなりおもむくところはただアルコールだけになりました自分の顔の表情は極度にいやしくなり朝から焼酎を飲み歯がぼろぼろに欠けて漫画もほとんど猥画に近いものを画くようになりましたいいえはっきり言います自分はその頃から春画のコピイをして密売しました焼酎を買うお金がほしかったのですいつも自分から視線をはずしておろおろしているヨシ子を見るとこいつは全く警戒を知らぬ女だったからあの商人といちどだけでは無かったのではなかろうかまた堀木はいや或いは自分の知らない人ともと疑惑は疑惑を生みさりとて思い切ってそれを問い正す勇気も無くれいの不安と恐怖にのたうち廻る思いでただ焼酎を飲んで酔ってはわずかに卑屈な誘導訊問みたいなものをおっかなびっくり試み内心おろかしく一喜一憂しうわべはやたらにお道化てそうしてそれからヨシ子にいまわしい地獄の愛撫を加え泥のように眠りこけるのでした|哀れな童女の歌声が幻聴のようにかすかに遠くから聞えます不幸この世にはさまざまの不幸な人がいや不幸な人ばかりと言っても過言ではないでしょうがしかしその人たちの不幸は所謂世間に対して堂々と抗議が出来また世間もその人たちの抗議を容易に理解し同情しますしかし自分の不幸はすべて自分の罪悪からなので誰にも抗議の仕様が無いしまた口ごもりながら一言でも抗議めいた事を言いかけるとヒラメならずとも世間の人たち全部よくもまあそんな口がきけたものだと呆れかえるに違いないし自分はいったい俗にいうわがままものなのかまたはその反対に気が弱すぎるのか自分でもわけがわからないけれどもとにかく罪悪のかたまりらしいのでどこまでも自らどんどん不幸になるばかりで防ぎ止める具体策など無いのです|自分は立って取り敢えず何か適当な薬をと思い近くの薬屋にはいってそこの奥さんと顔を見合せ瞬間奥さんはフラッシュを浴びたみたいに首をあげ眼を見はり棒立ちになりましたしかしその見はった眼には驚愕の色も嫌悪の色も無くほとんど救いを求めるような慕うような色があらわれているのでしたああこのひともきっと不幸な人なのだ不幸な人はひとの不幸にも敏感なものなのだからと思った時ふとその奥さんが松葉杖をついて危かしく立っているのに気がつきました駈け寄りたい思いを抑えてなおもその奥さんと顔を見合せているうちに涙が出て来ましたすると奥さんの大きい眼からも涙がぽろぽろとあふれて出ました|自分はことし二十七になります白髪がめっきりふえたのでたいていの人から四十以上に見られます眠い|人らしくないなあ
